duration [seconds];20 nodes (7/5);60 nodes (60/50);300 nodes (60/75);450 nodes (60/75);Single Hop - 100 nodes (60/75)
1;0;0;0;0;0
2;0;0;0;0;0
3;0;0;0;0;0
4;0;0;0;0;0
5;0.00113823;0;0;0.00018702;0.00076903
6;0.01606172;0;0.00138408;0.02019824;0.03998975
7;0.1031997;0.04;0.04602076;0.17318122;0.22660856
8;0.21044644;0.049230769;0.24544406;0.32896952;0.33568316
9;0.21588466;0.132307692;0.3633218;0.27604264;0.24006665
10;0.15252308;0.218461538;0.18800461;0.12118945;0.09741092
11;0.07904389;0.175384615;0.08246828;0.03796521;0.03332479
12;0.05425572;0.147692308;0.02214533;0.01383954;0.01230454
13;0.04439105;0.061538462;0.01499423;0.00579764;0.0046142
14;0.0390793;0.036923077;0.01130334;0.0044885;0.00294796
15;0.03035285;0.046153846;0.01384083;0.00317935;0.00038452
16;0.01846465;0.012307692;0.01107266;0.00224425;0.00128172
17;0.00923233;0.009230769;0;0.00168319;0.00089721
18;0.00784115;0.009230769;0;0.00205723;0.00051269
19;0.00569116;0.003076923;0;0.00299233;0.00140989
20;0.00354117;0.009230769;0;0.00130915;0.00076903
21;0.00240293;0.003076923;0;0.0009351;0.00038452
22;0.0012647;0.009230769;0;0.00056106;0
23;0.00214999;0.006153846;0;0.00018702;0
24;0.00164411;0.006153846;0;0.00112212;0.00038452
25;0.00101176;0.006153846;0;0.00037404;0
26;0;0;0;0.00018702;0.00012817
27;0.00037941;0;0;0.00018702;0.00012817
28;0;0;0;0;0
29;0;0;0;0;0
30;0;0;0;0;0
31;0;0;0;0.00018702;0
32;0;0;0;0;0
33;0;0.003076923;0;0;0
34;0;0;0;0.00018702;0
35;0;0.003076923;0;0.00018702;0
36;0;0.006153846;0;0;0
37;0;0;0;0.00018702;0
38;0;0;0;0;0
39;0;0;0;0;0
40;0;0;0;0;0
41;0;0;0;0;0
42;0;0;0;0.00018702;0
43;0;0;0;0;0
44;0;0.003076923;0;0;0
45;0;0;0;0.00018702;0
46;0;0;0;0;0
47;0;0.003076923;0;0;0
48;0;0;0;0;0
49;0;0;0;0;0
50;0;0;0;0;0
51;0;0;0;0;0
52;0;0;0;0;0
53;0;0;0;0;0
54;0;0;0;0;0
55;0;0.003076923;0;0;0
56;0;0;0;0;0
57;0;0;0;0;0
58;0;0;0;0.00018702;0
